schema,class,property,in_reference,detected_by_wizard,ref_minCount,ref_maxCount,ref_node,wiz_minCount,wiz_maxCount,wiz_nodeKind,wiz_datatype,expected_nodeKind,nodeKind_match,cardinality_match,datatype_match
Schema 2,FullProfessor,ub:undergraduateDegreeFrom,True,True,1,,UniversityShape,,1,sh:IRI,,sh:IRI,True,False,True
Schema 2,FullProfessor,ub:worksFor,True,True,1,,DepartmentShape,,1,sh:IRI,,sh:IRI,True,False,True
Schema 2,Publication,ub:name,True,True,1,1,,,1,sh:Literal,,sh:Literal,True,False,True
Schema 2,Publication,ub:publicationAuthor,True,True,1,7,,,,sh:IRI,,sh:IRI,True,False,True
Schema 2,ResearchGroup,ub:subOrganizationOf,True,True,1,1,DepartmentShape,,1,sh:IRI,,sh:IRI,True,False,True
Schema 2,UndergraduateStudent,ub:advisor,True,True,,1,,,1,sh:IRI,,sh:IRI,True,True,True
Schema 2,UndergraduateStudent,ub:emailAddress,True,True,1,,,,1,sh:Literal,,sh:Literal,True,False,True
Schema 2,UndergraduateStudent,ub:memberOf,True,True,1,,DepartmentShape,,1,sh:IRI,,sh:IRI,True,False,True
Schema 2,UndergraduateStudent,ub:name,True,True,1,1,,,1,sh:Literal,,sh:Literal,True,False,True
Schema 2,UndergraduateStudent,ub:takesCourse,True,True,2,4,CourseShape,,,sh:IRI,,sh:IRI,True,False,True
Schema 2,UndergraduateStudent,ub:telephone,True,True,1,,,,1,sh:Literal,,sh:Literal,True,False,True
Schema 2,University,ub:name,True,True,1,1,,,1,sh:Literal,,sh:Literal,True,False,True
Schema 3,AssistantProfessor,ub:doctoralDegreeFrom,True,True,1,,UniversityShape,,1,sh:IRI,,sh:IRI,True,False,True
Schema 3,AssistantProfessor,ub:emailAddress,True,True,1,,,,1,sh:Literal,,sh:Literal,True,False,True
Schema 3,AssistantProfessor,ub:mastersDegreeFrom,True,True,1,,UniversityShape,,1,sh:IRI,,sh:IRI,True,False,True
Schema 3,AssistantProfessor,ub:name,True,True,1,1,,,1,sh:Literal,,sh:Literal,True,False,True
Schema 3,AssistantProfessor,ub:researchInterest,True,True,1,,,,1,sh:Literal,,sh:Literal,True,False,True
Schema 3,AssistantProfessor,ub:teacherOf,True,True,1,2,Course,,,sh:IRI,,sh:IRI,True,False,True
Schema 3,AssistantProfessor,ub:telephone,True,True,1,,,,1,sh:Literal,,sh:Literal,True,False,True
Schema 3,AssistantProfessor,ub:undergraduateDegreeFrom,True,True,1,,UniversityShape,,1,sh:IRI,,sh:IRI,True,False,True
Schema 3,AssistantProfessor,ub:worksFor,True,True,1,,DepartmentShape,,1,sh:IRI,,sh:IRI,True,False,True
Schema 3,AssociateProfessor,ub:doctoralDegreeFrom,True,True,1,,UniversityShape,,1,sh:IRI,,sh:IRI,True,False,True
Schema 3,AssociateProfessor,ub:emailAddress,True,True,1,,,,1,sh:Literal,,sh:Literal,True,False,True
Schema 3,AssociateProfessor,ub:mastersDegreeFrom,True,True,1,,UniversityShape,,1,sh:IRI,,sh:IRI,True,False,True
Schema 3,AssociateProfessor,ub:name,True,True,1,1,,,1,sh:Literal,,sh:Literal,True,False,True
Schema 3,AssociateProfessor,ub:researchInterest,True,True,1,,,,1,sh:Literal,,sh:Literal,True,False,True
Schema 3,AssociateProfessor,ub:teacherOf,True,True,1,2,Course,,,sh:IRI,,sh:IRI,True,False,True
Schema 3,AssociateProfessor,ub:telephone,True,True,1,,,,1,sh:Literal,,sh:Literal,True,False,True
Schema 3,AssociateProfessor,ub:undergraduateDegreeFrom,True,True,1,,UniversityShape,,1,sh:IRI,,sh:IRI,True,False,True
Schema 3,AssociateProfessor,ub:worksFor,True,True,1,,DepartmentShape,,1,sh:IRI,,sh:IRI,True,False,True
Schema 3,Course,ub:name,True,True,1,1,,,1,sh:Literal,,sh:Literal,True,False,True
Schema 3,Course,ub:type,True,False,,,,,,,,,,,
Schema 3,Department,ub:name,True,True,1,1,,,1,sh:Literal,,sh:Literal,True,False,True
Schema 3,Department,ub:subOrganizationOf,True,True,1,1,UniversityShape,,1,sh:IRI,,sh:IRI,True,False,True
Schema 3,FullProfessor,ub:doctoralDegreeFrom,True,True,1,,UniversityShape,,1,sh:IRI,,sh:IRI,True,False,True
Schema 3,FullProfessor,ub:emailAddress,True,True,1,,,,1,sh:Literal,,sh:Literal,True,False,True
Schema 3,FullProfessor,ub:headOf,True,True,,1,DepartmentShape,,1,sh:IRI,,sh:IRI,True,True,True
Schema 3,FullProfessor,ub:mastersDegreeFrom,True,True,1,,UniversityShape,,1,sh:IRI,,sh:IRI,True,False,True
Schema 3,FullProfessor,ub:name,True,True,1,1,,,1,sh:Literal,,sh:Literal,True,False,True
Schema 3,FullProfessor,ub:researchInterest,True,True,1,,,,1,sh:Literal,,sh:Literal,True,False,True
Schema 3,FullProfessor,ub:teacherOf,True,True,1,2,Course,,,sh:IRI,,sh:IRI,True,False,True
Schema 3,FullProfessor,ub:telephone,True,True,1,,,,1,sh:Literal,,sh:Literal,True,False,True
Schema 3,FullProfessor,ub:undergraduateDegreeFrom,True,True,1,,UniversityShape,,1,sh:IRI,,sh:IRI,True,False,True
Schema 3,FullProfessor,ub:worksFor,True,True,1,,DepartmentShape,,1,sh:IRI,,sh:IRI,True,False,True
Schema 3,GraduateCourse,ub:name,True,True,1,1,,,1,sh:Literal,,sh:Literal,True,False,True
Schema 3,GraduateCourse,ub:type,True,False,,,,,,,,,,,
Schema 3,GraduateStudent,ub:advisor,True,True,1,1,,,1,sh:IRI,,sh:IRI,True,False,True
Schema 3,GraduateStudent,ub:emailAddress,True,True,1,,,,1,sh:Literal,,sh:Literal,True,False,True
Schema 3,GraduateStudent,ub:memberOf,True,True,1,,DepartmentShape,,1,sh:IRI,,sh:IRI,True,False,True
Schema 3,GraduateStudent,ub:name,True,True,1,1,,,1,sh:Literal,,sh:Literal,True,False,True
Schema 3,GraduateStudent,ub:takesCourse,True,True,1,3,GraduateCourseShape,,,sh:IRI,,sh:IRI,True,False,True
Schema 3,GraduateStudent,ub:teachingAssistantOf,True,True,,1,CourseShape,,1,sh:IRI,,sh:IRI,True,True,True
Schema 3,GraduateStudent,ub:telephone,True,True,1,,,,1,sh:Literal,,sh:Literal,True,False,True
Schema 3,GraduateStudent,ub:undergraduateDegreeFrom,True,True,1,,UniversityShape,,1,sh:IRI,,sh:IRI,True,False,True
Schema 3,Lecturer,ub:doctoralDegreeFrom,True,True,1,,UniversityShape,,1,sh:IRI,,sh:IRI,True,False,True
Schema 3,Lecturer,ub:emailAddress,True,True,1,,,,1,sh:Literal,,sh:Literal,True,False,True
Schema 3,Lecturer,ub:mastersDegreeFrom,True,True,1,,UniversityShape,,1,sh:IRI,,sh:IRI,True,False,True
Schema 3,Lecturer,ub:name,True,True,1,1,,,1,sh:Literal,,sh:Literal,True,False,True
Schema 3,Lecturer,ub:teacherOf,True,True,1,2,Course,,,sh:IRI,,sh:IRI,True,False,True
Schema 3,Lecturer,ub:telephone,True,True,1,,,,1,sh:Literal,,sh:Literal,True,False,True
Schema 3,Lecturer,ub:undergraduateDegreeFrom,True,True,1,,UniversityShape,,1,sh:IRI,,sh:IRI,True,False,True
Schema 3,Lecturer,ub:worksFor,True,True,1,,DepartmentShape,,1,sh:IRI,,sh:IRI,True,False,True
Schema 3,Publication,ub:name,True,True,1,1,,,1,sh:Literal,,sh:Literal,True,False,True
Schema 3,Publication,ub:publicationAuthor,True,True,1,7,,,,sh:IRI,,sh:IRI,True,False,True
Schema 3,ResearchAssistant,ub:advisor,True,True,1,1,,,1,sh:IRI,,sh:IRI,True,False,True
Schema 3,ResearchAssistant,ub:emailAddress,True,True,1,,,,1,sh:Literal,,sh:Literal,True,False,True
Schema 3,ResearchAssistant,ub:memberOf,True,True,1,,DepartmentShape,,1,sh:IRI,,sh:IRI,True,False,True
Schema 3,ResearchAssistant,ub:name,True,True,1,1,,,1,sh:Literal,,sh:Literal,True,False,True
Schema 3,ResearchAssistant,ub:takesCourse,True,True,1,3,GraduateCourseShape,,,sh:IRI,,sh:IRI,True,False,True
Schema 3,ResearchAssistant,ub:telephone,True,True,1,,,,1,sh:Literal,,sh:Literal,True,False,True
Schema 3,ResearchAssistant,ub:undergraduateDegreeFrom,True,True,1,,UniversityShape,,1,sh:IRI,,sh:IRI,True,False,True
Schema 3,ResearchGroup,ub:subOrganizationOf,True,True,1,1,DepartmentShape,,1,sh:IRI,,sh:IRI,True,False,True
Schema 3,TeachingAssistant,ub:advisor,True,True,1,1,,,1,sh:IRI,,sh:IRI,True,False,True
Schema 3,TeachingAssistant,ub:emailAddress,True,True,1,,,,1,sh:Literal,,sh:Literal,True,False,True
Schema 3,TeachingAssistant,ub:memberOf,True,True,1,,DepartmentShape,,1,sh:IRI,,sh:IRI,True,False,True
Schema 3,TeachingAssistant,ub:name,True,True,1,1,,,1,sh:Literal,,sh:Literal,True,False,True
Schema 3,TeachingAssistant,ub:takesCourse,True,True,1,3,GraduateCourseShape,,,sh:IRI,,sh:IRI,True,False,True
Schema 3,TeachingAssistant,ub:teachingAssistantOf,True,True,1,1,CourseShape,,1,sh:IRI,,sh:IRI,True,False,True
Schema 3,TeachingAssistant,ub:telephone,True,True,1,,,,1,sh:Literal,,sh:Literal,True,False,True
Schema 3,TeachingAssistant,ub:undergraduateDegreeFrom,True,True,1,,UniversityShape,,1,sh:IRI,,sh:IRI,True,False,True
Schema 3,UndergraduateStudent,ub:advisor,True,True,,1,,,1,sh:IRI,,sh:IRI,True,True,True
Schema 3,UndergraduateStudent,ub:emailAddress,True,True,1,,,,1,sh:Literal,,sh:Literal,True,False,True
Schema 3,UndergraduateStudent,ub:memberOf,True,True,1,,DepartmentShape,,1,sh:IRI,,sh:IRI,True,False,True
Schema 3,UndergraduateStudent,ub:name,True,True,1,1,,,1,sh:Literal,,sh:Literal,True,False,True
Schema 3,UndergraduateStudent,ub:takesCourse,True,True,2,4,CourseShape,,,sh:IRI,,sh:IRI,True,False,True
Schema 3,UndergraduateStudent,ub:telephone,True,True,1,,,,1,sh:Literal,,sh:Literal,True,False,True
Schema 3,University,ub:name,True,True,1,1,,,1,sh:Literal,,sh:Literal,True,False,True
